threshold,accuracy,precision,recall,f1,false_positive_rate,pred_methyl_rate,tp,tn,fp,fn,input_mode,task
0.3,0.8247011952191236,0.0,0.0,0.0,0.1752988047808765,0.1752988047808765,0,207,44,0,raw_original_input,known_sequence_methylation
0.4,0.8924302788844621,0.0,0.0,0.0,0.10756972111553785,0.10756972111553785,0,224,27,0,raw_original_input,known_sequence_methylation
0.5,0.9163346613545816,0.0,0.0,0.0,0.08366533864541832,0.08366533864541832,0,230,21,0,raw_original_input,known_sequence_methylation
0.6,0.9243027888446215,0.0,0.0,0.0,0.07569721115537849,0.07569721115537849,0,232,19,0,raw_original_input,known_sequence_methylation
0.7,0.9282868525896414,0.0,0.0,0.0,0.07171314741035857,0.07171314741035857,0,233,18,0,raw_original_input,known_sequence_methylation
0.8,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,raw_original_input,known_sequence_methylation
0.9,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,raw_original_input,known_sequence_methylation
0.95,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,raw_original_input,known_sequence_methylation
0.98,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,raw_original_input,known_sequence_methylation
0.99,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,raw_original_input,known_sequence_methylation
0.3,0.9123505976095617,0.0,0.0,0.0,0.08764940239043825,0.08764940239043825,0,229,22,0,raw_original_input,end_to_end_methylation
0.4,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.5,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.6,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.7,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.8,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.9,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.95,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.98,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.99,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,raw_original_input,end_to_end_methylation
0.3,0.8247011952191236,0.0,0.0,0.0,0.1752988047808765,0.1752988047808765,0,207,44,0,strict_naturalized_input,known_sequence_methylation
0.4,0.8924302788844621,0.0,0.0,0.0,0.10756972111553785,0.10756972111553785,0,224,27,0,strict_naturalized_input,known_sequence_methylation
0.5,0.9163346613545816,0.0,0.0,0.0,0.08366533864541832,0.08366533864541832,0,230,21,0,strict_naturalized_input,known_sequence_methylation
0.6,0.9243027888446215,0.0,0.0,0.0,0.07569721115537849,0.07569721115537849,0,232,19,0,strict_naturalized_input,known_sequence_methylation
0.7,0.9282868525896414,0.0,0.0,0.0,0.07171314741035857,0.07171314741035857,0,233,18,0,strict_naturalized_input,known_sequence_methylation
0.8,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,strict_naturalized_input,known_sequence_methylation
0.9,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,strict_naturalized_input,known_sequence_methylation
0.95,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,strict_naturalized_input,known_sequence_methylation
0.98,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,strict_naturalized_input,known_sequence_methylation
0.99,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,strict_naturalized_input,known_sequence_methylation
0.3,0.9123505976095617,0.0,0.0,0.0,0.08764940239043825,0.08764940239043825,0,229,22,0,strict_naturalized_input,end_to_end_methylation
0.4,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.5,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.6,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.7,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.8,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.9,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.95,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.98,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.99,0.9641434262948207,0.0,0.0,0.0,0.035856573705179286,0.035856573705179286,0,242,9,0,strict_naturalized_input,end_to_end_methylation
0.3,0.9282868525896414,0.0,0.0,0.0,0.07171314741035857,0.07171314741035857,0,233,18,0,selected_positions_as_X,known_sequence_methylation
0.4,0.9322709163346613,0.0,0.0,0.0,0.06772908366533864,0.06772908366533864,0,234,17,0,selected_positions_as_X,known_sequence_methylation
0.5,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,selected_positions_as_X,known_sequence_methylation
0.6,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,selected_positions_as_X,known_sequence_methylation
0.7,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,selected_positions_as_X,known_sequence_methylation
0.8,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,selected_positions_as_X,known_sequence_methylation
0.9,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,selected_positions_as_X,known_sequence_methylation
0.95,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,selected_positions_as_X,known_sequence_methylation
0.98,0.9362549800796812,0.0,0.0,0.0,0.06374501992031872,0.06374501992031872,0,235,16,0,selected_positions_as_X,known_sequence_methylation
0.99,0.9402390438247012,0.0,0.0,0.0,0.05976095617529881,0.05976095617529881,0,236,15,0,selected_positions_as_X,known_sequence_methylation
0.3,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.4,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.5,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.6,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.7,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.8,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.9,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.95,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.98,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
0.99,0.9920318725099602,0.0,0.0,0.0,0.00796812749003984,0.00796812749003984,0,249,2,0,selected_positions_as_X,end_to_end_methylation
