threshold,accuracy,precision,recall,f1,false_positive_rate,pred_methyl_rate,tp,tn,fp,fn,input_mode,task
0.3,0.9269102990033222,0.961038961038961,0.6873065015479877,0.8014440433212997,0.007614213197969543,0.15348837209302327,222,1173,9,101,raw_original_input,known_sequence_methylation
0.4,0.9162790697674419,0.9624413145539906,0.6346749226006192,0.7649253731343283,0.00676818950930626,0.1415282392026578,205,1174,8,118,raw_original_input,known_sequence_methylation
0.5,0.9102990033222591,0.97,0.6006191950464397,0.7418738049713194,0.005076142131979695,0.132890365448505,194,1176,6,129,raw_original_input,known_sequence_methylation
0.6,0.9029900332225914,0.9682539682539683,0.56656346749226,0.71484375,0.005076142131979695,0.12558139534883722,183,1176,6,140,raw_original_input,known_sequence_methylation
0.7,0.8970099667774086,0.9719101123595506,0.5356037151702786,0.6906187624750499,0.004230118443316413,0.11827242524916944,173,1177,5,150,raw_original_input,known_sequence_methylation
0.8,0.8850498338870432,0.96875,0.47987616099071206,0.6418219461697723,0.004230118443316413,0.10631229235880399,155,1177,5,168,raw_original_input,known_sequence_methylation
0.9,0.8724252491694352,0.9924812030075187,0.4086687306501548,0.5789473684210525,0.0008460236886632825,0.08837209302325581,132,1181,1,191,raw_original_input,known_sequence_methylation
0.95,0.8571428571428571,1.0,0.33436532507739936,0.5011600928074246,0.0,0.07176079734219269,108,1182,0,215,raw_original_input,known_sequence_methylation
0.98,0.8332225913621263,1.0,0.22291021671826625,0.36455696202531646,0.0,0.04784053156146179,72,1182,0,251,raw_original_input,known_sequence_methylation
0.99,0.8172757475083057,1.0,0.14860681114551083,0.2587601078167116,0.0,0.03189368770764119,48,1182,0,275,raw_original_input,known_sequence_methylation
0.3,0.8730897009966777,0.9074074074074074,0.4551083591331269,0.6061855670103092,0.012690355329949238,0.10764119601328903,147,1167,15,176,raw_original_input,end_to_end_methylation
0.4,0.8637873754152824,0.9097222222222222,0.4055727554179567,0.5610278372591007,0.010998307952622674,0.09568106312292358,131,1169,13,192,raw_original_input,end_to_end_methylation
0.5,0.8598006644518272,0.9057971014492754,0.38699690402476783,0.5422993492407809,0.010998307952622674,0.09169435215946845,125,1169,13,198,raw_original_input,end_to_end_methylation
0.6,0.8511627906976744,0.896,0.34674922600619196,0.5000000000000001,0.010998307952622674,0.08305647840531562,112,1169,13,211,raw_original_input,end_to_end_methylation
0.7,0.8438538205980066,0.8859649122807017,0.3126934984520124,0.46224256292906185,0.010998307952622674,0.07574750830564785,101,1169,13,222,raw_original_input,end_to_end_methylation
0.8,0.8352159468438538,0.8787878787878788,0.2693498452012384,0.4123222748815165,0.01015228426395939,0.06578073089700996,87,1170,12,236,raw_original_input,end_to_end_methylation
0.9,0.8239202657807309,0.8717948717948718,0.21052631578947367,0.3391521197007481,0.008460236886632826,0.051827242524916946,68,1172,10,255,raw_original_input,end_to_end_methylation
0.95,0.8093023255813954,0.8461538461538461,0.13622291021671826,0.23466666666666666,0.00676818950930626,0.0345514950166113,44,1174,8,279,raw_original_input,end_to_end_methylation
0.98,0.7893687707641196,0.6666666666666666,0.03715170278637771,0.07038123167155425,0.005076142131979695,0.011960132890365448,12,1176,6,311,raw_original_input,end_to_end_methylation
0.99,0.7833887043189369,0.2857142857142857,0.006191950464396285,0.012121212121212121,0.004230118443316413,0.004651162790697674,2,1177,5,321,raw_original_input,end_to_end_methylation
0.3,0.9269102990033222,0.961038961038961,0.6873065015479877,0.8014440433212997,0.007614213197969543,0.15348837209302327,222,1173,9,101,strict_naturalized_input,known_sequence_methylation
0.4,0.9162790697674419,0.9624413145539906,0.6346749226006192,0.7649253731343283,0.00676818950930626,0.1415282392026578,205,1174,8,118,strict_naturalized_input,known_sequence_methylation
0.5,0.9102990033222591,0.97,0.6006191950464397,0.7418738049713194,0.005076142131979695,0.132890365448505,194,1176,6,129,strict_naturalized_input,known_sequence_methylation
0.6,0.9029900332225914,0.9682539682539683,0.56656346749226,0.71484375,0.005076142131979695,0.12558139534883722,183,1176,6,140,strict_naturalized_input,known_sequence_methylation
0.7,0.8970099667774086,0.9719101123595506,0.5356037151702786,0.6906187624750499,0.004230118443316413,0.11827242524916944,173,1177,5,150,strict_naturalized_input,known_sequence_methylation
0.8,0.8850498338870432,0.96875,0.47987616099071206,0.6418219461697723,0.004230118443316413,0.10631229235880399,155,1177,5,168,strict_naturalized_input,known_sequence_methylation
0.9,0.8737541528239202,0.9925925925925926,0.4148606811145511,0.5851528384279476,0.0008460236886632825,0.08970099667774087,134,1181,1,189,strict_naturalized_input,known_sequence_methylation
0.95,0.8571428571428571,1.0,0.33436532507739936,0.5011600928074246,0.0,0.07176079734219269,108,1182,0,215,strict_naturalized_input,known_sequence_methylation
0.98,0.8332225913621263,1.0,0.22291021671826625,0.36455696202531646,0.0,0.04784053156146179,72,1182,0,251,strict_naturalized_input,known_sequence_methylation
0.99,0.8172757475083057,1.0,0.14860681114551083,0.2587601078167116,0.0,0.03189368770764119,48,1182,0,275,strict_naturalized_input,known_sequence_methylation
0.3,0.8737541528239202,0.9079754601226994,0.4582043343653251,0.6090534979423868,0.012690355329949238,0.10830564784053157,148,1167,15,175,strict_naturalized_input,end_to_end_methylation
0.4,0.8637873754152824,0.9097222222222222,0.4055727554179567,0.5610278372591007,0.010998307952622674,0.09568106312292358,131,1169,13,192,strict_naturalized_input,end_to_end_methylation
0.5,0.8598006644518272,0.9057971014492754,0.38699690402476783,0.5422993492407809,0.010998307952622674,0.09169435215946845,125,1169,13,198,strict_naturalized_input,end_to_end_methylation
0.6,0.8511627906976744,0.896,0.34674922600619196,0.5000000000000001,0.010998307952622674,0.08305647840531562,112,1169,13,211,strict_naturalized_input,end_to_end_methylation
0.7,0.8438538205980066,0.8859649122807017,0.3126934984520124,0.46224256292906185,0.010998307952622674,0.07574750830564785,101,1169,13,222,strict_naturalized_input,end_to_end_methylation
0.8,0.8352159468438538,0.8787878787878788,0.2693498452012384,0.4123222748815165,0.01015228426395939,0.06578073089700996,87,1170,12,236,strict_naturalized_input,end_to_end_methylation
0.9,0.8245847176079735,0.8734177215189873,0.21362229102167182,0.34328358208955223,0.008460236886632826,0.05249169435215947,69,1172,10,254,strict_naturalized_input,end_to_end_methylation
0.95,0.8093023255813954,0.8461538461538461,0.13622291021671826,0.23466666666666666,0.00676818950930626,0.0345514950166113,44,1174,8,279,strict_naturalized_input,end_to_end_methylation
0.98,0.7893687707641196,0.6666666666666666,0.03715170278637771,0.07038123167155425,0.005076142131979695,0.011960132890365448,12,1176,6,311,strict_naturalized_input,end_to_end_methylation
0.99,0.7833887043189369,0.2857142857142857,0.006191950464396285,0.012121212121212121,0.004230118443316413,0.004651162790697674,2,1177,5,321,strict_naturalized_input,end_to_end_methylation
0.3,0.8578073089700997,0.9823008849557522,0.34365325077399383,0.5091743119266056,0.001692047377326565,0.07508305647840531,111,1180,2,212,selected_positions_as_X,known_sequence_methylation
