temperature_pair,n_targets,n_pairs,mean_tm_score,median_tm_score,mean_diversity_1_minus_tm,median_diversity_1_minus_tm,mean_tmalign_rmsd,median_tmalign_rmsd
0.01__0.1,17,17,0.40490682495538355,0.3701962479285257,0.5950931750446165,0.6298037520714743,1.2407697909716848,1.2617069214726084
0.01__0.2,17,17,0.3114708140776042,0.31343471098903875,0.6885291859223958,0.6865652890109613,1.2514866954558008,1.2413134310214244
0.01__0.3,17,17,0.3221959558132695,0.2892868985430348,0.6778040441867305,0.7107131014569652,1.4898293495558343,1.6356432010214765
0.01__0.5,17,17,0.3184734637394419,0.28432416874389616,0.6815265362605581,0.7156758312561038,1.340898738899634,1.4627511510727333
0.1__0.2,17,17,0.3203963588536699,0.2961401570537458,0.67960364114633,0.7038598429462541,1.183529156011561,1.2176287733973523
0.1__0.3,17,17,0.34881134575496314,0.3613143678812557,0.6511886542450369,0.6386856321187443,1.2541683230286662,1.2100749207128718
0.1__0.5,17,17,0.3391392396575026,0.2881480489168232,0.6608607603424975,0.7118519510831768,1.1964526219617377,1.3039503940618276
0.2__0.3,17,17,0.3325926926736885,0.29079169548440276,0.6674073073263116,0.7092083045155972,1.274540940451855,1.4561085431729293
0.2__0.5,17,17,0.3272215968061205,0.300761913718152,0.6727784031938795,0.699238086281848,1.1692285378126501,1.2228791481323713
0.3__0.5,17,17,0.3776573273863656,0.32559198852838267,0.6223426726136345,0.6744080114716173,1.0764141793748905,1.2090298538674789
