temperature,target_name,n_pdb,n_pdb_matched_exact,n_pdb_unmatched,n_pdb_best85,n_all_design_rows,n_all_design_rows_with_pdb,n_all_design_rows_missing_pdb
0.01,1SFI,11,11,0,1,11,11,0
0.01,3AV9,11,11,0,1,11,11,0
0.01,3AVA,3,3,0,1,3,3,0
0.01,3AVB,4,4,0,1,4,4,0
0.01,3AVF,2,2,0,1,2,2,0
0.01,3AVG,3,3,0,1,3,3,0
0.01,3AVH,2,2,0,1,2,2,0
0.01,3AVI,2,2,0,1,2,2,0
0.01,3AVJ,2,2,0,1,2,2,0
0.01,3AVK,2,2,0,1,2,2,0
0.01,3AVM,6,6,0,1,6,6,0
0.01,3AVN,3,3,0,1,3,3,0
0.01,3P8F,6,6,0,1,6,6,0
0.01,3WNE,0,0,0,0,2,0,2
0.01,3ZGC,0,0,0,0,7,0,7
0.01,4K1E,4,4,0,1,4,4,0
0.01,4KEL,12,12,0,1,12,12,0
0.1,1SFI,49,49,0,1,49,49,0
0.1,3AV9,14,14,0,1,14,14,0
0.1,3AVA,10,10,0,1,10,10,0
0.1,3AVB,23,23,0,1,23,23,0
0.1,3AVF,7,7,0,1,7,7,0
0.1,3AVG,26,26,0,1,26,26,0
0.1,3AVH,13,13,0,1,13,13,0
0.1,3AVI,23,23,0,1,23,23,0
0.1,3AVJ,26,26,0,1,26,26,0
0.1,3AVK,22,22,0,1,22,22,0
0.1,3AVM,31,31,0,1,31,31,0
0.1,3AVN,21,21,0,1,21,21,0
0.1,3P8F,39,39,0,1,39,39,0
0.1,3WNE,0,0,0,0,11,0,11
0.1,3ZGC,0,0,0,0,9,0,9
0.1,4K1E,37,37,0,1,37,37,0
0.1,4KEL,33,33,0,1,33,33,0
0.2,1SFI,154,154,0,2,77,77,0
0.2,3AV9,54,54,0,2,28,28,0
0.2,3AVA,52,52,0,2,27,27,0
0.2,3AVB,68,68,0,2,52,52,0
0.2,3AVF,21,21,0,1,21,21,0
0.2,3AVG,44,44,0,1,45,44,1
0.2,3AVH,35,35,0,1,35,35,0
0.2,3AVI,39,39,0,1,44,39,5
0.2,3AVJ,32,32,0,1,35,32,3
0.2,3AVK,30,30,0,1,32,30,2
0.2,3AVM,55,55,0,1,57,55,2
0.2,3AVN,63,63,0,1,65,63,2
0.2,3P8F,70,70,0,1,70,70,0
0.2,3WNE,30,30,0,1,30,30,0
0.2,3ZGC,22,22,0,1,22,22,0
0.2,4K1E,56,56,0,1,56,56,0
0.2,4KEL,80,80,0,1,80,80,0
0.3,1SFI,99,99,0,1,99,99,0
0.3,3AV9,53,53,0,1,58,53,5
0.3,3AVA,51,51,0,1,54,51,3
0.3,3AVB,75,75,0,1,75,75,0
0.3,3AVF,46,46,0,1,48,46,2
0.3,3AVG,75,75,0,1,77,75,2
0.3,3AVH,68,68,0,1,68,68,0
0.3,3AVI,66,66,0,1,66,66,0
0.3,3AVJ,60,60,0,1,60,60,0
0.3,3AVK,58,58,0,1,58,58,0
0.3,3AVM,81,81,0,1,81,81,0
0.3,3AVN,71,71,0,1,72,71,1
0.3,3P8F,96,96,0,1,96,96,0
0.3,3WNE,61,61,0,1,61,61,0
0.3,3ZGC,34,34,0,1,34,34,0
0.3,4K1E,84,84,0,1,84,84,0
0.3,4KEL,90,90,0,1,90,90,0
0.5,1SFI,100,100,0,1,100,100,0
0.5,3AV9,89,89,0,1,89,89,0
0.5,3AVA,81,81,0,1,81,81,0
0.5,3AVB,98,98,0,1,98,98,0
0.5,3AVF,91,91,0,1,91,91,0
0.5,3AVG,99,99,0,1,99,99,0
0.5,3AVH,95,95,0,1,95,95,0
0.5,3AVI,96,96,0,1,96,96,0
0.5,3AVJ,98,98,0,1,98,98,0
0.5,3AVK,96,96,0,1,96,96,0
0.5,3AVM,98,98,0,1,98,98,0
0.5,3AVN,97,97,0,1,97,97,0
0.5,3P8F,100,100,0,1,100,100,0
0.5,3WNE,84,84,0,1,84,84,0
0.5,3ZGC,60,60,0,1,60,60,0
0.5,4K1E,100,100,0,1,100,100,0
0.5,4KEL,100,100,0,1,200,200,0
