Original checkpoint performance by residue,,,,,,,,,,,,,,,,,,
Ser-provenance-corrected truth at confidence >0.6; includes overall and residue-specific scopes.,,,,,,,,,,,,,,,,,,
phase,task,scope,ground_truth,auc,threshold,accuracy,precision,recall,f1,false_positive_rate,pred_methyl_rate,tp,tn,fp,fn,positions,methyl_positives,natural_negatives
pre_original_checkpoint,known_natural_sequence,overall,Ser-provenance-corrected held-out labels,0.9002907442,0.6,0.8617940199,0.6402116402,0.4636015326,0.5377777778,0.0546623794,0.1255813953,121,1176,68,140,1505,261,1244
pre_original_checkpoint,known_natural_sequence,serine,Ser-provenance-corrected held-out labels,0.3185483871,0.6,0.1621621622,0.1621621622,1,0.2790697674,1,1,12,0,62,0,74,12,62
pre_original_checkpoint,known_natural_sequence,non_serine,Ser-provenance-corrected held-out labels,0.9432008916,0.6,0.8979734451,0.947826087,0.437751004,0.5989010989,0.0050761421,0.0803633823,109,1176,6,140,1431,249,1182
pre_original_checkpoint,known_natural_sequence,residue_A,Ser-provenance-corrected held-out labels,0.9752380952,0.6,0.9756097561,1,0.7142857143,0.8333333333,0,0.0609756098,5,75,0,2,82,7,75
pre_original_checkpoint,known_natural_sequence,residue_C,Ser-provenance-corrected held-out labels,0.9585921325,0.6,0.9156626506,1,0.5,0.6666666667,0,0.0843373494,7,69,0,7,83,14,69
pre_original_checkpoint,known_natural_sequence,residue_D,Ser-provenance-corrected held-out labels,0.9453781513,0.6,0.8461538462,0.75,0.4285714286,0.5454545455,0.0392156863,0.1230769231,6,49,2,8,65,14,51
pre_original_checkpoint,known_natural_sequence,residue_E,Ser-provenance-corrected held-out labels,0.9043367347,0.6,0.8714285714,0.8571428571,0.4285714286,0.5714285714,0.0178571429,0.1,6,55,1,8,70,14,56
pre_original_checkpoint,known_natural_sequence,residue_F,Ser-provenance-corrected held-out labels,0.990234375,0.6,0.8625,1,0.3125,0.4761904762,0,0.0625,5,64,0,11,80,16,64
pre_original_checkpoint,known_natural_sequence,residue_G,Ser-provenance-corrected held-out labels,0.982078853,0.6,0.9436619718,1,0.5555555556,0.7142857143,0,0.0704225352,5,62,0,4,71,9,62
pre_original_checkpoint,known_natural_sequence,residue_H,Ser-provenance-corrected held-out labels,0.9929300864,0.6,0.8837209302,1,0.4736842105,0.6428571429,0,0.1046511628,9,67,0,10,86,19,67
pre_original_checkpoint,known_natural_sequence,residue_I,Ser-provenance-corrected held-out labels,0.9319196429,0.6,0.8611111111,0.875,0.4375,0.5833333333,0.0178571429,0.1111111111,7,55,1,9,72,16,56
pre_original_checkpoint,known_natural_sequence,residue_K,Ser-provenance-corrected held-out labels,0.9880952381,0.6,0.9384615385,1,0.5555555556,0.7142857143,0,0.0769230769,5,56,0,4,65,9,56
pre_original_checkpoint,known_natural_sequence,residue_L,Ser-provenance-corrected held-out labels,0.9601449275,0.6,0.9058823529,1,0.5,0.6666666667,0,0.0941176471,8,69,0,8,85,16,69
pre_original_checkpoint,known_natural_sequence,residue_M,Ser-provenance-corrected held-out labels,0.9342403628,0.6,0.8961038961,1,0.4285714286,0.6,0,0.0779220779,6,63,0,8,77,14,63
