threshold,tensor_positions,real_positions,padding_positions,legacy_positives,predicted_positive_n,predicted_positive_rate,legacy_exact_correct_n,legacy_exact_accuracy
0.3,1947,1505,442,323,275,0.14124293785310735,745,0.38263995891114533
0.4,1947,1505,442,323,268,0.1376476630713919,743,0.38161273754494096
0.5,1947,1505,442,323,265,0.13610683102208526,743,0.38161273754494096
0.6,1947,1505,442,323,256,0.1314843348741654,742,0.3810991268618387
0.7,1947,1505,442,323,253,0.12994350282485875,742,0.3810991268618387
0.8,1947,1505,442,323,240,0.12326656394453005,739,0.3795582948125321
0.9,1947,1505,442,323,234,0.12018489984591679,738,0.3790446841294299
0.95,1947,1505,442,323,213,0.10939907550077041,735,0.37750385208012327
0.98,1947,1505,442,323,176,0.0903954802259887,731,0.3754494093477144
0.99,1947,1505,442,323,58,0.029789419619928096,712,0.3656908063687725
