threshold,tensor_positions,real_positions,padding_positions,tp,fp,tn,fn,accuracy,precision,recall,f1
0.3,1891,1505,386,246,843,725,77,0.5134849286092015,0.22589531680440772,0.7616099071207431,0.3484419263456091
0.4,1891,1505,386,178,446,1122,145,0.6874669487043892,0.28525641025641024,0.5510835913312694,0.3759239704329461
0.5,1891,1505,386,128,175,1393,195,0.8043363299841354,0.42244224422442245,0.39628482972136225,0.4089456869009585
0.6,1891,1505,386,90,38,1530,233,0.8566895822316235,0.703125,0.2786377708978328,0.3991130820399113
0.7,1891,1505,386,77,6,1562,246,0.866737176097303,0.927710843373494,0.23839009287925697,0.3793103448275862
0.8,1891,1505,386,58,0,1568,265,0.8598625066102591,1.0,0.17956656346749225,0.3044619422572178
0.9,1891,1505,386,4,0,1568,319,0.8313061872025383,1.0,0.01238390092879257,0.02446483180428135
0.95,1891,1505,386,0,0,1568,323,0.8291909042834479,nan,0.0,nan
0.98,1891,1505,386,0,0,1568,323,0.8291909042834479,nan,0.0,nan
0.99,1891,1505,386,0,0,1568,323,0.8291909042834479,nan,0.0,nan
