target_name,n_raw,n_unique,n_duplicates,unique_rate,mean_recovery,best_recovery,mean_methyl_rate
1SFI,336,317,19,0.9434523809523809,0.03295068027210884,0.21428571428571427,0.3182397959183673
3AV9,200,156,44,0.78,0.0,0.0,0.04625
3AVA,175,132,43,0.7542857142857143,0.04071428571428572,0.125,0.055
3AVB,252,219,33,0.8690476190476191,0.037698412698412696,0.25,0.06646825396825397
3AVF,169,140,29,0.8284023668639053,0.053994082840236685,0.125,0.057692307692307696
3AVG,250,202,48,0.808,0.045,0.25,0.0235
3AVH,213,178,35,0.8356807511737089,0.02699530516431925,0.25,0.01995305164319249
3AVI,231,191,40,0.8268398268398268,0.030844155844155844,0.125,0.04329004329004329
3AVJ,221,187,34,0.8461538461538461,0.02319004524886878,0.125,0.04694570135746606
3AVK,210,187,23,0.8904761904761904,0.02023809523809524,0.125,0.03154761904761905
3AVM,273,222,51,0.8131868131868132,0.037545787545787544,0.25,0.0260989010989011
3AVN,258,223,35,0.8643410852713178,0.015019379844961241,0.125,0.06831395348837209
3P8F,311,282,29,0.9067524115755627,0.07119889756545704,0.21428571428571427,0.31189710610932475
3WNE,188,138,50,0.7340425531914894,0.10638297872340424,0.3333333333333333,0.0673758865248227
3ZGC,132,92,40,0.696969696969697,0.040043290043290033,0.14285714285714285,0.1753246753246753
4K1E,281,247,34,0.8790035587188612,0.03889171326893747,0.21428571428571427,0.4443314692425012
4KEL,315,277,38,0.8793650793650793,0.03650793650793651,0.21428571428571427,0.4229024943310658
