target_name,n_rows,n_with_permeability,n_strict_temperature_match,n_sequence_fallback_match,n_missing_permeability,n_zero_permeability,mean_permeability_pred,median_permeability_pred,max_permeability_pred,mean_permeability_log10_positive_only,median_permeability_log10_positive_only,mean_permeability_log10_floor300,median_permeability_log10_floor300,mean_peptide_ca_rmsd_after_receptor_fit,median_peptide_ca_rmsd_after_receptor_fit
1SFI,5,5,5,0,0,0,2.0739675305532503e-06,1.0509767500721523e-09,9.925965059665032e-06,-10.349554795613052,-8.978406891419004,-10.349554795613052,-8.978406891419004,8.56942,8.1608
3AV9,5,5,5,0,0,0,2.095977936036365e-06,3.170616658110248e-09,1.0073306839331052e-05,-8.213256916905127,-8.498856262965433,-8.213256916905127,-8.498856262965433,40.18642,44.7934
3AVA,5,5,5,0,0,0,2.2833101955277436e-07,2.6123013086021277e-08,1.0696024901335477e-06,-7.96472388305274,-7.582976732023183,-7.96472388305274,-7.582976732023183,43.57378,44.6089
3AVB,5,5,5,0,0,0,0.001915507001488248,2.4601510517641145e-07,0.0095706423744559,-7.182321916918847,-6.609038226663423,-7.182321916918847,-6.609038226663423,37.89632,45.4045
3AVF,5,5,5,0,0,0,1.3140855122963902e-05,2.422844369576182e-09,6.565645162481815e-05,-8.81397505115142,-8.61567448169618,-8.81397505115142,-8.61567448169618,28.13446,41.5948
3AVG,5,5,5,0,0,0,0.20000117485760982,6.960178779991111e-07,1.0,-6.107183499985399,-6.157379604905755,-6.107183499985399,-6.157379604905755,42.61456,43.8415
3AVH,5,5,5,0,0,0,0.8000000001298287,1.0,1.0,-1.8375318254967863,0.0,-1.8375318254967863,0.0,41.830859999999994,45.166
3AVI,5,5,5,0,0,0,0.20000016184225436,2.717716540701076e-07,1.0,-5.973012325825662,-6.565795842389798,-5.973012325825662,-6.565795842389798,42.29418,43.0735
3AVJ,5,5,5,0,0,0,0.033448919478032614,2.428947709631757e-09,0.1672445833683014,-7.386986115872586,-8.614581834582612,-7.386986115872586,-8.614581834582612,35.908879999999996,43.4324
3AVK,5,5,5,0,0,0,5.052481644174378e-09,5.266681535331941e-10,1.8383303768132464e-08,-8.832441519000643,-9.278462941682296,-8.832441519000643,-9.278462941682296,38.69098,43.5803
3AVM,5,5,5,0,0,0,0.3999967673628676,6.625015885219909e-06,1.0,-4.46204465202343,-5.1788130760545386,-4.46204465202343,-5.1788130760545386,45.249,44.4793
3AVN,5,5,5,0,0,0,0.40456277282473396,0.0228138640522956,1.0,-4.980949767397879,-1.6418011507397374,-4.980949767397879,-1.6418011507397374,36.26718,42.4658
3P8F,5,5,5,0,0,0,0.00013837439819886613,3.627914957923632e-15,0.0006918665021657,-15.454015225852046,-14.440342901804161,-15.454015225852046,-14.440342901804161,6.32368,5.7603
3WNE,5,5,3,2,0,0,0.0762784038670361,0.0204086247831583,0.1791025847196579,-1.7797015356133215,-1.6901862588413947,-1.7797015356133215,-1.6901862588413947,34.47534,31.5211
3ZGC,5,4,3,1,1,0,0.0043739483679864355,0.0004961076192557,0.0165035780519247,-4.533092599381577,-3.3044241029874053,-4.533092599381577,-3.3044241029874053,7.10604,8.0872
4K1E,5,5,5,0,0,0,4.0332855859037495e-11,6.977131202780257e-31,2.016642131064117e-10,-24.26118107164024,-30.156323110171535,-24.26118107164024,-30.156323110171535,9.9005,10.4543
4KEL,5,5,5,0,0,0,1.0904548375378909e-09,1.6276405386844028e-33,5.452274187689454e-09,-27.738254228864957,-32.788441501967135,-27.738254228864957,-32.788441501967135,9.78358,11.3646
