target_name,temperature,n_raw,n_unique,n_duplicates,unique_rate,mean_recovery,best_recovery,mean_methyl_rate
1SFI,0.01,11,11,0,1.0,0.0,0.0,0.4285714285714286
1SFI,0.1,49,49,0,1.0,0.008746355685131194,0.07142857142857142,0.39504373177842567
1SFI,0.2,77,77,0,1.0,0.03153988868274583,0.14285714285714285,0.3840445269016698
1SFI,0.3,99,99,0,1.0,0.03463203463203463,0.14285714285714285,0.3037518037518037
1SFI,0.5,100,100,0,1.0,0.04785714285714285,0.21428571428571427,0.23214285714285712
3AV9,0.01,11,11,0,1.0,0.0,0.0,0.10227272727272728
3AV9,0.1,14,14,0,1.0,0.0,0.0,0.07142857142857142
3AV9,0.2,28,28,0,1.0,0.0,0.0,0.08482142857142858
3AV9,0.3,58,58,0,1.0,0.0,0.0,0.05387931034482758
3AV9,0.5,89,89,0,1.0,0.0,0.0,0.018258426966292134
3AVA,0.01,3,3,0,1.0,0.125,0.125,0.041666666666666664
3AVA,0.1,10,10,0,1.0,0.05,0.125,0.0625
3AVA,0.2,27,27,0,1.0,0.037037037037037035,0.125,0.09259259259259259
3AVA,0.3,54,54,0,1.0,0.04398148148148148,0.125,0.06944444444444445
3AVA,0.5,81,81,0,1.0,0.035493827160493825,0.125,0.032407407407407406
3AVB,0.01,4,4,0,1.0,0.0,0.0,0.125
3AVB,0.1,23,23,0,1.0,0.043478260869565216,0.125,0.11956521739130435
3AVB,0.2,52,52,0,1.0,0.03125,0.125,0.10576923076923077
3AVB,0.3,75,75,0,1.0,0.035,0.125,0.1
3AVB,0.5,98,98,0,1.0,0.04336734693877551,0.25,0.00510204081632653
3AVF,0.01,2,2,0,1.0,0.125,0.125,0.0625
3AVF,0.1,7,7,0,1.0,0.07142857142857142,0.125,0.10714285714285714
3AVF,0.2,21,21,0,1.0,0.047619047619047616,0.125,0.08928571428571429
3AVF,0.3,48,48,0,1.0,0.057291666666666664,0.125,0.078125
3AVF,0.5,91,91,0,1.0,0.050824175824175824,0.125,0.03571428571428571
3AVG,0.01,3,3,0,1.0,0.0,0.0,0.125
3AVG,0.1,26,26,0,1.0,0.04326923076923077,0.125,0.0625
3AVG,0.2,45,45,0,1.0,0.041666666666666664,0.125,0.03611111111111111
3AVG,0.3,77,77,0,1.0,0.040584415584415584,0.25,0.024350649350649352
3AVG,0.5,99,99,0,1.0,0.05176767676767677,0.25,0.003787878787878788
3AVH,0.01,2,2,0,1.0,0.0,0.0,0.0625
3AVH,0.1,13,13,0,1.0,0.019230769230769232,0.125,0.038461538461538464
3AVH,0.2,35,35,0,1.0,0.025,0.125,0.02142857142857143
3AVH,0.3,68,68,0,1.0,0.025735294117647058,0.125,0.03308823529411765
3AVH,0.5,95,95,0,1.0,0.030263157894736843,0.25,0.006578947368421052
3AVI,0.01,2,2,0,1.0,0.0,0.0,0.1875
3AVI,0.1,23,23,0,1.0,0.005434782608695652,0.125,0.08152173913043478
3AVI,0.2,44,44,0,1.0,0.03409090909090909,0.125,0.07386363636363637
3AVI,0.3,66,66,0,1.0,0.028409090909090908,0.125,0.03409090909090909
3AVI,0.5,96,96,0,1.0,0.037760416666666664,0.125,0.0234375
3AVJ,0.01,2,2,0,1.0,0.0,0.0,0.1875
3AVJ,0.1,26,26,0,1.0,0.004807692307692308,0.125,0.13942307692307693
3AVJ,0.2,35,35,0,1.0,0.02142857142857143,0.125,0.04642857142857143
